data;ano;mes;nome_mes;trimestre;dia;dia_semana;fim_de_semana;ano_mes
2025-06-23;2025;6;Junho;2;23;Segunda-feira;False;2025-06
2025-06-24;2025;6;Junho;2;24;Terça-feira;False;2025-06
2025-06-25;2025;6;Junho;2;25;Quarta-feira;False;2025-06
2025-06-26;2025;6;Junho;2;26;Quinta-feira;False;2025-06
2025-06-27;2025;6;Junho;2;27;Sexta-feira;False;2025-06
2025-06-28;2025;6;Junho;2;28;Sábado;True;2025-06
2025-06-29;2025;6;Junho;2;29;Domingo;True;2025-06
2025-06-30;2025;6;Junho;2;30;Segunda-feira;False;2025-06
2025-07-01;2025;7;Julho;3;1;Terça-feira;False;2025-07
2025-07-02;2025;7;Julho;3;2;Quarta-feira;False;2025-07
2025-07-03;2025;7;Julho;3;3;Quinta-feira;False;2025-07
2025-07-04;2025;7;Julho;3;4;Sexta-feira;False;2025-07
2025-07-05;2025;7;Julho;3;5;Sábado;True;2025-07
2025-07-06;2025;7;Julho;3;6;Domingo;True;2025-07
2025-07-07;2025;7;Julho;3;7;Segunda-feira;False;2025-07
2025-07-08;2025;7;Julho;3;8;Terça-feira;False;2025-07
2025-07-09;2025;7;Julho;3;9;Quarta-feira;False;2025-07
2025-07-10;2025;7;Julho;3;10;Quinta-feira;False;2025-07
2025-07-11;2025;7;Julho;3;11;Sexta-feira;False;2025-07
2025-07-12;2025;7;Julho;3;12;Sábado;True;2025-07
2025-07-13;2025;7;Julho;3;13;Domingo;True;2025-07
2025-07-14;2025;7;Julho;3;14;Segunda-feira;False;2025-07
2025-07-15;2025;7;Julho;3;15;Terça-feira;False;2025-07
2025-07-16;2025;7;Julho;3;16;Quarta-feira;False;2025-07
2025-07-17;2025;7;Julho;3;17;Quinta-feira;False;2025-07
2025-07-18;2025;7;Julho;3;18;Sexta-feira;False;2025-07
2025-07-19;2025;7;Julho;3;19;Sábado;True;2025-07
2025-07-20;2025;7;Julho;3;20;Domingo;True;2025-07
2025-07-21;2025;7;Julho;3;21;Segunda-feira;False;2025-07
2025-07-22;2025;7;Julho;3;22;Terça-feira;False;2025-07
2025-07-23;2025;7;Julho;3;23;Quarta-feira;False;2025-07
2025-07-24;2025;7;Julho;3;24;Quinta-feira;False;2025-07
2025-07-25;2025;7;Julho;3;25;Sexta-feira;False;2025-07
2025-07-26;2025;7;Julho;3;26;Sábado;True;2025-07
2025-07-27;2025;7;Julho;3;27;Domingo;True;2025-07
2025-07-28;2025;7;Julho;3;28;Segunda-feira;False;2025-07
2025-07-29;2025;7;Julho;3;29;Terça-feira;False;2025-07
2025-07-30;2025;7;Julho;3;30;Quarta-feira;False;2025-07
2025-07-31;2025;7;Julho;3;31;Quinta-feira;False;2025-07
2025-08-01;2025;8;Agosto;3;1;Sexta-feira;False;2025-08
2025-08-02;2025;8;Agosto;3;2;Sábado;True;2025-08
2025-08-03;2025;8;Agosto;3;3;Domingo;True;2025-08
2025-08-04;2025;8;Agosto;3;4;Segunda-feira;False;2025-08
2025-08-05;2025;8;Agosto;3;5;Terça-feira;False;2025-08
2025-08-06;2025;8;Agosto;3;6;Quarta-feira;False;2025-08
2025-08-07;2025;8;Agosto;3;7;Quinta-feira;False;2025-08
2025-08-08;2025;8;Agosto;3;8;Sexta-feira;False;2025-08
2025-08-09;2025;8;Agosto;3;9;Sábado;True;2025-08
2025-08-10;2025;8;Agosto;3;10;Domingo;True;2025-08
2025-08-11;2025;8;Agosto;3;11;Segunda-feira;False;2025-08
2025-08-12;2025;8;Agosto;3;12;Terça-feira;False;2025-08
2025-08-13;2025;8;Agosto;3;13;Quarta-feira;False;2025-08
2025-08-14;2025;8;Agosto;3;14;Quinta-feira;False;2025-08
2025-08-15;2025;8;Agosto;3;15;Sexta-feira;False;2025-08
2025-08-16;2025;8;Agosto;3;16;Sábado;True;2025-08
2025-08-17;2025;8;Agosto;3;17;Domingo;True;2025-08
2025-08-18;2025;8;Agosto;3;18;Segunda-feira;False;2025-08
2025-08-19;2025;8;Agosto;3;19;Terça-feira;False;2025-08
2025-08-20;2025;8;Agosto;3;20;Quarta-feira;False;2025-08
2025-08-21;2025;8;Agosto;3;21;Quinta-feira;False;2025-08
2025-08-22;2025;8;Agosto;3;22;Sexta-feira;False;2025-08
2025-08-23;2025;8;Agosto;3;23;Sábado;True;2025-08
2025-08-24;2025;8;Agosto;3;24;Domingo;True;2025-08
2025-08-25;2025;8;Agosto;3;25;Segunda-feira;False;2025-08
2025-08-26;2025;8;Agosto;3;26;Terça-feira;False;2025-08
2025-08-27;2025;8;Agosto;3;27;Quarta-feira;False;2025-08
2025-08-28;2025;8;Agosto;3;28;Quinta-feira;False;2025-08
2025-08-29;2025;8;Agosto;3;29;Sexta-feira;False;2025-08
2025-08-30;2025;8;Agosto;3;30;Sábado;True;2025-08
2025-08-31;2025;8;Agosto;3;31;Domingo;True;2025-08
2025-09-01;2025;9;Setembro;3;1;Segunda-feira;False;2025-09
2025-09-02;2025;9;Setembro;3;2;Terça-feira;False;2025-09
2025-09-03;2025;9;Setembro;3;3;Quarta-feira;False;2025-09
2025-09-04;2025;9;Setembro;3;4;Quinta-feira;False;2025-09
2025-09-05;2025;9;Setembro;3;5;Sexta-feira;False;2025-09
2025-09-06;2025;9;Setembro;3;6;Sábado;True;2025-09
2025-09-07;2025;9;Setembro;3;7;Domingo;True;2025-09
2025-09-08;2025;9;Setembro;3;8;Segunda-feira;False;2025-09
2025-09-09;2025;9;Setembro;3;9;Terça-feira;False;2025-09
2025-09-10;2025;9;Setembro;3;10;Quarta-feira;False;2025-09
2025-09-11;2025;9;Setembro;3;11;Quinta-feira;False;2025-09
2025-09-12;2025;9;Setembro;3;12;Sexta-feira;False;2025-09
2025-09-13;2025;9;Setembro;3;13;Sábado;True;2025-09
2025-09-14;2025;9;Setembro;3;14;Domingo;True;2025-09
2025-09-15;2025;9;Setembro;3;15;Segunda-feira;False;2025-09
2025-09-16;2025;9;Setembro;3;16;Terça-feira;False;2025-09
2025-09-17;2025;9;Setembro;3;17;Quarta-feira;False;2025-09
2025-09-18;2025;9;Setembro;3;18;Quinta-feira;False;2025-09
2025-09-19;2025;9;Setembro;3;19;Sexta-feira;False;2025-09
2025-09-20;2025;9;Setembro;3;20;Sábado;True;2025-09
2025-09-21;2025;9;Setembro;3;21;Domingo;True;2025-09
2025-09-22;2025;9;Setembro;3;22;Segunda-feira;False;2025-09
2025-09-23;2025;9;Setembro;3;23;Terça-feira;False;2025-09
2025-09-24;2025;9;Setembro;3;24;Quarta-feira;False;2025-09
2025-09-25;2025;9;Setembro;3;25;Quinta-feira;False;2025-09
2025-09-26;2025;9;Setembro;3;26;Sexta-feira;False;2025-09
2025-09-27;2025;9;Setembro;3;27;Sábado;True;2025-09
2025-09-28;2025;9;Setembro;3;28;Domingo;True;2025-09
2025-09-29;2025;9;Setembro;3;29;Segunda-feira;False;2025-09
2025-09-30;2025;9;Setembro;3;30;Terça-feira;False;2025-09
2025-10-01;2025;10;Outubro;4;1;Quarta-feira;False;2025-10
2025-10-02;2025;10;Outubro;4;2;Quinta-feira;False;2025-10
